Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4201841,5.242424242424242,-0.42388725,-0.3588306264579296,-0.3588306264579296,0.87243253,0.24583654,0.0002970208,0.19900692,0.00049513386,1.0
20000,1.3752023,8.24105461393597,0.12996109,0.2605192547507375,0.2605192547507375,0.3481732,0.2493534,0.0002913804,0.1971268,0.00048592128,1.0
30000,1.3620309,14.762360446570973,0.56086844,0.564899032911466,0.564899032911466,0.25102204,0.24935363,0.0002852329,0.19507763,0.00047588043,1.0
40000,1.3618244,17.72904483430799,0.6041855,0.6206365395337343,0.6206365395337343,0.15035236,0.2476443,0.00027926842,0.19308947,0.00046613833,1.0
50000,1.37724,20.135416666666668,0.54533124,0.6429220629355111,0.6429220629355111,0.15273009,0.2501935,0.00027301218,0.19100407,0.00045591986,1.0
60000,1.3773112,17.884615384615383,0.6128476,0.6807642355221357,0.6807642355221357,0.13027863,0.25234398,0.00026674857,0.18891618,0.0004456893,1.0
70000,1.3738706,9.897491821155944,0.73101974,0.683337583285726,0.683337583285726,0.15043171,0.24695374,0.0002607765,0.1869255,0.00043593487,1.0
80000,1.3726176,7.82129963898917,0.78926325,0.752807325496596,0.752807325496596,0.12086909,0.24087498,0.0002549778,0.18499258,0.00042646364,1.0
90000,1.3582578,5.045508274231678,0.8105267,0.7479870352274289,0.7479870352274289,0.12856041,0.241586,0.0002488674,0.1829558,0.00041648338,1.0
100000,1.3247635,4.237918215613383,0.8269913,0.7798544129113703,0.7798544129113703,0.10706855,0.23803687,0.00024304003,0.18101333,0.00040696526,1.0
110000,1.2822304,3.8190066857688634,0.87560666,0.8448294561384853,0.8448294561384853,0.070877224,0.23925284,0.00023699345,0.17899781,0.0003970892,1.0
120000,1.2717538,3.742503569728701,0.85192716,0.8213327966113451,0.8213327966113451,0.0789652,0.25298405,0.00023105532,0.17701845,0.0003873903,1.0
130000,1.2649964,3.017269076305221,0.836449,0.8028456279066172,0.8028456279066172,0.0813936,0.23413517,0.00022497408,0.17499134,0.0003774576,1.0
140000,1.2494737,3.0465587044534415,0.87344515,0.8383151906953258,0.8383151906953258,0.051243555,0.23561037,0.00021896607,0.17298868,0.00036764453,1.0
150000,1.2332658,2.7679516250944824,0.83306575,0.7989721789799002,0.7989721789799002,0.0946573,0.23078798,0.0002129751,0.17099167,0.0003578592,1.0
160000,1.2170749,2.6776798825256973,0.8711116,0.8410875483024138,0.8410875483024138,0.05861307,0.24382384,0.00020701319,0.1690044,0.00034812148,1.0
170000,1.2029995,3.0812289562289563,0.8794561,0.8580403124452414,0.8580403124452414,0.054846637,0.23245946,0.00020102863,0.16700952,0.00033834667,1.0
180000,1.1952492,3.594606741573034,0.8777845,0.8661655770778602,0.8661655770778602,0.05413928,0.24492018,0.00019495981,0.1649866,0.00032843425,1.0
190000,1.1868347,2.966482649842271,0.87545913,0.851404098053648,0.851404098053648,0.052215274,0.2354253,0.00018901927,0.16300641,0.0003187314,1.0
200000,1.1820815,2.9443567482241515,0.88636416,0.8582340456031013,0.8582340456031013,0.04595185,0.23329327,0.00018301552,0.16100515,0.00030892523,1.0
210000,1.1846951,3.4589483394833946,0.8666103,0.849831678532407,0.849831678532407,0.052004486,0.23910822,0.00017704863,0.15901619,0.0002991793,1.0
220000,1.1902406,4.595647193585338,0.86438555,0.8539160460709257,0.8539160460709257,0.043754093,0.24501683,0.00017112095,0.15704028,0.00028949746,1.0
230000,1.1933135,3.1790220820189274,0.8621563,0.8338380292528245,0.8338380292528245,0.057754867,0.24055213,0.00016490847,0.15496948,0.00027935044,1.0
240000,1.1782347,2.749529190207156,0.83506465,0.8114639840568642,0.8114639840568642,0.07149445,0.23469041,0.00015900789,0.1530026,0.00026971273,1.0
250000,1.1685197,2.6419213973799125,0.759244,0.742739182087331,0.742739182087331,0.123998605,0.23802342,0.00015302493,0.1510083,0.00025994057,1.0
260000,1.1564621,2.699963004069552,0.82334876,0.8043276367917839,0.8043276367917839,0.07218695,0.2341258,0.0001469603,0.14898676,0.00025003505,1.0
270000,1.1450514,2.3812584573748308,0.82809526,0.8072697590829878,0.8072697590829878,0.07448958,0.23654242,0.00014093502,0.14697832,0.00024019375,1.0
280000,1.1294651,2.5950323974082075,0.8666578,0.8493987438168457,0.8493987438168457,0.060644716,0.22819677,0.00013501022,0.1450034,0.00023051658,1.0
290000,1.1211414,2.5298692117355954,0.90435493,0.8846461212416308,0.8846461212416308,0.040313218,0.22954218,0.00012899884,0.14299959,0.00022069798,1.0
300000,1.1132653,2.518648838845883,0.9128968,0.8974309413628611,0.8974309413628611,0.024465572,0.22637892,0.00012301138,0.14100377,0.00021091849,1.0
310000,1.1097049,2.5632594710507504,0.9030317,0.887702959616554,0.887702959616554,0.041168746,0.23536439,0.0001170259,0.13900861,0.00020114216,1.0
320000,1.1089904,2.5256680731364276,0.8686278,0.8524445098365696,0.8524445098365696,0.077383265,0.24154866,0.00011097395,0.13699128,0.00019125734,1.0
330000,1.1023891,2.3954046639231823,0.87388045,0.856996586777303,0.856996586777303,0.054997213,0.2287833,0.00010497384,0.13499126,0.00018145716,1.0
340000,1.0998665,2.4160409556313995,0.8624522,0.8452581514829982,0.8452581514829982,0.050069477,0.22489975,9.899841e-05,0.13299945,0.00017169729,1.0
350000,1.0944608,2.370232872089099,0.86207294,0.8464884014420123,0.8464884014420123,0.06007115,0.2293194,9.302907e-05,0.13100965,0.00016194736,1.0
360000,1.090225,2.6552478134110786,0.8453576,0.8359977513275765,0.8359977513275765,0.069259025,0.23339255,8.691494e-05,0.12897164,0.00015196092,1.0
370000,1.0865608,2.4203098106712564,0.8511947,0.8375693778177314,0.8375693778177314,0.053524606,0.24334891,8.104715e-05,0.12701568,0.00014237688,1.0
380000,1.0841529,2.562367115520907,0.84468913,0.8343431234338657,0.8343431234338657,0.05592581,0.23632884,7.4971416e-05,0.12499044,0.00013245316,1.0
390000,1.081157,2.1780690537084397,0.84859705,0.8315428832045269,0.8315428832045269,0.070025854,0.23588613,6.900433e-05,0.123001404,0.00012270692,1.0
400000,1.0810498,2.3352084712111183,0.8216993,0.8077015225114879,0.8077015225114879,0.07795526,0.23348176,6.297859e-05,0.12099284,0.00011286489,1.0
410000,1.0808965,2.3294547872340425,0.84645355,0.8345820929473154,0.8345820929473154,0.0667188,0.2336379,5.701955e-05,0.1190065,0.0001031318,1.0
420000,1.078401,2.4784437434279707,0.85124475,0.8345242601238767,0.8345242601238767,0.05564439,0.23803687,5.10136e-05,0.117004514,9.332208e-05,1.0
430000,1.0735897,2.3723076923076922,0.8676487,0.8552443835824515,0.8552443835824515,0.04806429,0.2308121,4.50253e-05,0.115008414,8.354118e-05,1.0
440000,1.0703521,2.402675585284281,0.89019066,0.8748986342417024,0.8748986342417024,0.036948137,0.23829442,3.897305e-05,0.11299099,7.3655836e-05,1.0
450000,1.0665766,2.590222861250899,0.8919783,0.8790434485813018,0.8790434485813018,0.031483956,0.23435886,3.3024124e-05,0.11100801,6.393925e-05,1.0
460000,1.0640683,2.5671535447096545,0.8880521,0.8747533242564116,0.8747533242564116,0.03724646,0.23678572,2.7007025e-05,0.10900232,5.411132e-05,1.0
470000,1.0624533,2.3183041722745625,0.88017195,0.8611815293082704,0.8611815293082704,0.040433448,0.23008431,2.0986756e-05,0.10699556,4.427821e-05,1.0
480000,1.0609508,2.505751132798885,0.8442276,0.8439614030059583,0.8439614030059583,0.06108835,0.24165516,1.4974444e-05,0.10499145,3.4458102e-05,1.0
490000,1.059381,2.3082605775688383,0.87328964,0.8555619620344096,0.8555619620344096,0.048426922,0.23440522,9.011355e-06,0.103003755,2.4718383e-05,1.0
500000,1.0591992,2.3206380208333335,0.85354024,0.8447400562693245,0.8447400562693245,0.057288036,0.23351036,2.9812736e-06,0.10099372,1.4869253e-05,1.0
